company_name,address,latitude,longitude,ny,wholesaler_distributor,harvester_processor,secondary_processor,auction,harvester_processor_scale,secondary_processor_scale,auction_scale,max_inv,lrfs_business,mwbe,sold_to_nyc,nys_product_purchased,sold_to_NYC,organic
458 1/2 South Broadway Meat Inc,"458 1/2 South Broadway, Yonkers, NY 10705",40.917641284237,-73.896575888364,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
A & A Finest,"5342 98th Street, Corona, NY 11368",40.739964818376,-73.863308704921,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
A.A. Rubashkin & Sons,"4310 14th Ave, Brooklyn, NY 11219",40.636995528083,-73.986575795261,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"AVA Pork Products, Inc.","383 West John Street, Hicksville, NY 11801",40.766409121735,-73.540975757037,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Alex & George Wholesale Meats, Inc.","2 Rockwood Street - Suite 100, Rochester, NY 14610",43.145725923643,-77.552518740691,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Alex's Meat & Provisions,"5600 1st Avenue  Unit B-16, Brooklyn, NY 11220",40.647141229419,-74.022635037924,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"America New York Ri Wang Food Group Co., Ltd.","58-85 58th Avenue, Maspeth, NY 11378",40.721122594288,-73.908905599459,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"America New York Ri Wang Food Group Co., Ltd.","30 Inez Drive, Bay Shore, NY 11706",40.764407260092,-73.267799500084,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Atlantic Veal & Lamb Inc,"275 Morgan Avenue, Brooklyn, NY 11211",40.714093589186,-73.935204612002,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Aztec Imperio,"971 Intervale Ave, Bronx, NY 10459",40.822240110912,-73.896953607403,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Bare Bones Butchering, LLC","5786 County Route 17, Friendship, NY 14739",42.252424815085,-78.147549781079,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
Beech-Nut Nutrition Corporation,"1 Nutritious Place, Amsterdam, NY 12010",NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Berger Wholesale Meat Co.,"13 New Street, Huntington, NY 11743",40.870509168978,-73.427388629968,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Berk Lombardo Packing Co.. Inc.,"50 Constance Court, Hauppauge, NY 11788",40.812258053206,-73.225382706058,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Berkshire View Custom Cut Meats, LLC","838 Alcove Road, Hannacroix, NY 12087",42.438792985755,-73.911931808971,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
Big Mouth/Cudlins,"8 Cox Road, Newfield, NY 14867",42.347127848215,-76.617382704209,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
"Bills Market, Inc.","2095 Route 336, Romulus, NY 14531",42.808400052576,-76.82586506797,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
