company_name,street_address,city,state,zip_code,ny,harvester_processor,secondary_processor,organic
458 1/2 South Broadway Meat Inc,458 1/2 South Broadway,Yonkers,NY,10705,1,0,1,0
A & A Finest,5342 98th Street,Corona,NY,11368,1,0,1,0
A.A. Rubashkin & Sons,4310 14th Ave,Brooklyn,NY,11219,1,0,1,0
"AVA Pork Products, Inc.",383 West John Street,Hicksville,NY,11801,1,0,1,0
"Alex & George Wholesale Meats, Inc.",2 Rockwood Street - Suite 100,Rochester,NY,14610,1,0,1,0
Alex's Meat & Provisions,5600 1st Avenue  Unit B-16,Brooklyn,NY,11220,1,0,1,0
"America New York Ri Wang Food Group Co., Ltd.",58-85 58th Avenue,Maspeth,NY,11378,1,0,1,0
"America New York Ri Wang Food Group Co., Ltd.",30 Inez Drive,Bay Shore,NY,11706,1,0,1,0
Atlantic Veal & Lamb Inc,275 Morgan Avenue,Brooklyn,NY,11211,1,0,1,0
Aztec Imperio,971 Intervale Ave,Bronx,NY,10459,1,0,1,0
"Bare Bones Butchering, LLC",5786 County Route 17,Friendship,NY,14739,1,1,1,0
Beech-Nut Nutrition Corporation,1 Nutritious Place,Amsterdam,NY,12010,1,0,1,0
Berger Wholesale Meat Co.,13 New Street,Huntington,NY,11743,1,0,1,0
Berk Lombardo Packing Co.. Inc.,50 Constance Court,Hauppauge,NY,11788,1,0,1,0
"Berkshire View Custom Cut Meats, LLC",838 Alcove Road,Hannacroix,NY,12087,1,1,1,0
Big Mouth/Cudlins,8 Cox Road,Newfield,NY,14867,1,1,1,0
"Bills Market, Inc.",2095 Route 336,Romulus,NY,14531,1,1,1,0
Bimmy's Food Made With Love,4700 33rd Street 2nd Floor,Long Island City,NY,11101,1,0,1,0
Blue Star Meat Corp.,520 Craven Street,Bronx,NY,10474,1,0,1,0
Bonavista foods Inc.,2033 State Route 96A,Ovid,NY,14521,1,0,1,0
Borenstein Caterers Inc.,179-29 150th Road,Jamaica,NY,11434,1,0,1,0
"Bostrom Farms, LLC",2200 State Routes 5 and 20,Stanley,NY,14561,1,0,1,0
Brother's Halal Meat Packing,56 Railroad Avenue,Stamford,NY,12167,1,1,1,0
"Buffalo SAV, Inc.",1550 William Street,Buffalo,NY,14206,1,0,1,0
Burly Brothers Country Butchery,4154 East Main Street,Attica,NY,14011,1,1,1,0
CAFE SPICE LLC,677 LITTLE BRITAIN ROAD,NEW WINDSOR,NY,12553,1,0,1,0
CYRE Inc.,876 Neighborhood Road,Lake Katrine,NY,12449,1,0,1,0
"Cafe Spice, LLC",511 Fishkill Avenue,Beacon,NY,12508,1,0,1,0
