Product,Category,Sub-Category,Unit Size,Pack Size,Manufacturer,Manufacturer Code,Distributors,Distributor Code,EO32 Eligible ,Certifications,NY Grown & Certified Verification,Product Info,Product Formulation Statement OR NY Grown & Certified Certificate,Retail Size Packs Available,Vegan,Distribution Notes,Notes,Record Last Modified,Vendor Contact List copy,Vendor Contact List copy,Vendor Contact List copy,Vendor Contact List copy,Update/Add Vendor Profile copy,Update/Add Vendor Profile copy,Update/Add Vendor Profile copy,Update/Add Vendor Profile copy,Vendor Contact List
"Beef, Ground",Protein,Meat,5 lbs.,6/5lb/cs,Burly Brothers Country Butchery,,Burly Brothers Country Butchery,,Yes,NY Grown & Certified ,,,,,,,Additional cuts available: call Burly Bros. to discuss,4/11/2024 3:23pm,,,,,,,,,
"Beef patty, 3 oz.",Protein,Meat,3 oz. patty,150/cs; approx. 30 lb.,Burly Brothers Country Butchery,,Burly Brothers Country Butchery,,Yes,NY Grown & Certified ,,,,,,,Additional cuts available: call Burly Bros. to discuss,6/12/2024 10:36am,,,,,,,,,
"Beef, ground, bulk",Protein,Meat,10 lb.,30 lbs/cs.,Happy Valley Meat Co.,,,,Still Under Review,,,,,,,,PFS available upon request,2/27/2025 9:43am,,,,,,,,,
"Beef patty, 1/3 lb.",Protein,Meat,1/3 lb. patty,5 lb. packs; 20 lbs/cs. (4 packs),Happy Valley Meat Co.,,,,Still Under Review,,,,,,,,PFS available upon request,2/21/2024 8:03am,,,,,,,,,
Ground Beef,Protein,Meat,10#,30 lbs/cs,Happy Valley Meat Co.,119,"Ginsberg's Foods,Happy Valley Meat Co.",,Yes,,,"HVM_About_Us_Product_List.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/1i-cvxMzdAFyCflw9kTiOQ/k9KEW9NJDFY154u8XeaFJpsOWqAaG_nP5y6Lsd58ItT4ZLUa5GT15DYVoqUk91AHNdByewaIKrX-bizLzM9yfM8OGULLISi9oKEJZ7QSHx7sIdTuyC0yyHiefa09kj8RSiyCLNbVFVgtKK3dEmkbuIlOlu-sb2fpOyu5XgX1hVI7l4u1abO5loQMpitrivFn/AUya4V-_ni-BYy_d53bg5_ZJN4rv417IK8TGgVBD_Fk),HVM_Product_Spec_Sheets.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/xVKNFSWrv8qK2USgN4lCyw/fEhbw7HYzVwF4vHEgAdWK7fybFmjD8Ekpi_1girnPwhhHLZzQhwK1LVCXvUB_ltLgNWJkgNR3gIeF2qUOLE7vB_SXLarkOMkX02-jSIGkcLDj9dM-EtNJmsoA4_JVK_p_zCOw09unc5L10NHGGYHHtFmLfPmM2DZtvM_86WEshRPH3QInTdbPwiuvpRD_THc/DVlFo54nQzEMBX_x1gWYm4zf10HzagjVx5UCLKTmsSo)",,,,,PFS available for each lot,6/10/2025 10:57am,,,,,,,,,
Beef- Short Ribs Halal Processed ,Protein,Meat,"3lb or 5lb, average size",35lb,Mulligan Creek Acres  ,,Mulligan Creek Acres  ,,Yes,Halal,,,,checked,,,PFS available upon request. ,2/28/2025 10:27am,,,,,,,,,
Beef- patty Halal Processed ,Protein,Meat,"3lb or 5lb, average size",35lb,Mulligan Creek Acres  ,,Mulligan Creek Acres  ,,Yes,Halal,,,,checked,,,PFS available upon request. ,2/28/2025 10:27am,,,,,,,,,
Beef- porterhouse Halal Processed ,Protein,Meat,"3lb or 5lb, average size",35lb,Mulligan Creek Acres  ,,Mulligan Creek Acres  ,,Yes,Halal,,,,checked,,,PFS available upon request. ,2/28/2025 10:23am,,,,,,,,,
Beef - Ground Halal Processed ,Protein,Meat,"3lb or 5lb, average size",35lb,Mulligan Creek Acres  ,,Mulligan Creek Acres  ,,Yes,Halal,,,,checked,,,PFS available upon request. ,2/28/2025 10:27am,,,,,,,,,
Beef - ribeye Halal Processed ,Protein,Meat,"3lb or 5lb, average size",35lb,Mulligan Creek Acres  ,,Mulligan Creek Acres  ,,Yes,Halal,,,,checked,,,PFS available upon request. ,2/28/2025 10:23am,,,,,,,,,
