Year,Month,Price
2016,January,16.10
2016,February,15.70
2016,March,15.30
2016,April,15.10
2016,May,14.50
2016,June,14.80
2016,July,16.10
2016,August,17.20
2016,September,17.40
2016,October,16.70
2016,November,17.80
2016,December,18.90
2017,January,18.90
2017,February,18.40
2017,March,17.30
2017,April,16.50
2017,May,16.70
2017,June,17.30
2017,July,17.20
2017,August,18.10
2017,September,17.90
2017,October,18.10
2017,November,18.20
2017,December,17.20
2018,January,16.20
2018,February,15.30
2018,March,15.60
2018,April,15.80
2018,May,16.20
2018,June,16.30
2018,July,15.50
2018,August,16.10
2018,September,16.90
2018,October,17.50
2018,November,17.20
2018,December,16.60
2019,January,16.60
2019,February,16.80
2019,March,17.60
2019,April,17.70
2019,May,18.00
2019,June,18.10
2019,July,18.70
2019,August,18.90
2019,September,19.30
2019,October,20.10
2019,November,21.20
2019,December,20.70
2020,January,19.50
2020,February,18.80
2020,March,17.80
2020,April,14.30
2020,May,13.60
2020,June,18.10
2020,July,20.50
2020,August,18.50
2020,September,17.60
2020,October,19.80
2020,November,21.00
2020,December,18.10
2021,January,17.10
2021,February,16.70
2021,March,17.30
2021,April,18.30
2021,May,19.10
2021,June,18.20
2021,July,17.80
2021,August,17.60
2021,September,18.30
2021,October,19.60
2021,November,20.70
2021,December,21.70
2022,January,23.90
2022,February,24.50
2022,March,25.60
2022,April,27.00
2022,May,27.20
2022,June,26.70
2022,July,25.50
2022,August,24.10
2022,September,24.10
2022,October,25.60
2022,November,25.40
2022,December,24.50
2023,January,22.90
2023,February,21.40
2023,March,21.00
2023,April,20.60
2023,May,19.10
2023,June,17.80
2023,July,17.30
2023,August,19.60
2023,September,20.90
2023,October,21.50
2023,November,21.60
2023,December,20.40
2024,January,19.90
2024,February,20.40
2024,March,20.60
2024,April,20.40
2024,May,22.00
2024,June,22.80
2024,July,22.80
2024,August,23.60
2024,September,25.50
2024,October,25.10
2024,November,24.20
2024,December,23.30
2025,January,24.10
2025,February,23.60
2025,March,22.00
2025,April,21.10
2025,May,21.40
2025,June,21.30
2025,July,20.80
2025,August,20.90
2025,September,20.40
2025,October,19.90
2025,November,19.60
2025,December,19.00
2026,January,17.50
2026,February,18.30
2026,March,19.70
2026,April,20.80
2026,May,21.30
2026,June,21.10
2026,July,20.30
