fips,county_name,drybeans_OPERATIONS,drybeans_ACRES,soybeans_OPERATIONS,soybeans_ACRES
36121,Wyoming,8,1347,48,4090
36003,Allegany,1,234.75287391822607,8,247
36017,Chenango,2,36.87356304088698,21,1810
36107,Tioga,1,18.43678152044349,19,2475
36069,Ontario,4,332,199,27203
36051,Livingston,17,2062,99,22549
36011,Cayuga,14,609,190,30983
36117,Wayne,3,184,173,29154
36055,Monroe,20,1356,65,16085
36021,Columbia,3,55.31034456133047,18,3463
36099,Seneca,1,18.43678152044349,120,27301
36077,Otsego,5,7,18,4088
36067,Onondaga,1,18.43678152044349,66,15407
36101,Steuben,6,1483,80,8127
36073,Orleans,3,226,72,24739
36037,Genesee,10,648,96,18747
36123,Yates,6,444,221,9210
36029,Erie,1,234.75287391822607,68,9062
36065,Oneida,0,0,84,9837
36027,Dutchess,0,0,17,1432
36105,Sullivan,0,0,2,195.16666666666666
36023,Cortland,0,0,13,1249
36063,Niagara,0,0,58,16365
36075,Oswego,0,0,41,2435
36049,Lewis,0,0,25,1972
36035,Fulton,0,0,4,219
36115,Washington,0,0,10,1067
36043,Herkimer,0,0,37,2529
36009,Cattaraugus,0,0,31,3886
36089,St Lawrence,0,0,41,5173
36091,Saratoga,0,0,9,1356
36019,Clinton,0,0,1,97.58333333333333
36057,Montgomery,0,0,37,3980
36001,Albany,0,0,3,120
36083,Rensselaer,0,0,12,1598
36013,Chautauqua,0,0,12,3194
36097,Schuyler,0,0,22,2029
36071,Orange,0,0,10,2165
36093,Schenectady,0,0,1,97.58333333333333
36033,Franklin,0,0,19,779
36053,Madison,0,0,43,4713
36119,Westchester,0,0,1,97.58333333333333
36111,Ulster,0,0,23,979
36015,Chemung,0,0,15,2386
36045,Jefferson,0,0,41,10823
36109,Tompkins,0,0,32,3898
36025,Delaware,0,0,4,174
36007,Broome,0,0,5,487.9166666666667
36103,Suffolk,0,0,2,195.16666666666666
36095,Schoharie,0,0,16,1240
