year,variable_name,variable_description_short,variable_description,variable_definition
2017,census_divisions,,Census divisions,"Census divisions of the U.S., include Pacific, Mountain, West North Central, West South Central, East North Central, East South Central, Middle Atlantic, South Atlantic, New England"
2017,census_regions,,Census regions,"Census regions of the U.S., include West, Midwest, South, Northeast"
2017,fips,,County-level code that identifies the county and state where an operation is located,Codes which uniquely identify U.S. counties. County-level FIPS codes have five digits of which the first two are the FIPS code of the state to which the county belongs
2017,metro,,"Counties in metro areas of 1 million population or more, counties in metro areas of 250,000 to 1 million population, or counties in metro areas of fewer than 250,000 population","Rural-urban continuum codes 1, 2, and 3"
2017,metro_adj,,"Urban population of 20,000 or more, adjacent to a metro area, urban population of 5,000 to 20,000, adjacent to a metro area, urban population of fewer than 5,000, adjacent to a metro area","Rural-urban continuum codes 4, 6, and 8"
2017,nonmetro,,"Urban population of 20,000 or more, not adjacent to a metro area, urban population of 5,000 to 20,000, not adjacent to a metro area, urban population of fewer than 5,000, not adjacent to a metro area","Rural-urban continuum codes 5, 7, and 9"
2017,rucc_2013,,"Rural-urban continuum codes (1 - Metro, 9 - nonmetro","2013 Rural-urban continuum codes, raning from 1: Metro - Counties in metro areas of 1 million population or more to 9: Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
2017,organic_farm,,Operation that produced organic products,NA
2017,organic_nop,,Operation that has USDA NOP certified organic production,National Organic Program (NOP)
2017,organic_nop_exempt,,Operations that has USDA NOP organic production exempt from certification,National Organic Program (NOP)
2017,organic_not_certified,,Operation has production according to USDA NOP standards but not certified or exempt,NA
2017,organic_sales,,Gross value of sales of certified or exempt organic products,Includes the gross value of USDA NOP certified or exempt organically produced commodities sold from this operation
2017,organic_sales_tvp,,Organic sales as a percent of total sales,equal to zero when total sales are zero
2017,organic_transitioning,,Operation has acres transitioning into USDA NOP organic production,National Organic Program (NOP)
2017,pos_organic_sales,,Organic sales for only those producers with positive organic sales,"NA for operations without organic sales, and a positive number for those with organic sales"
2017,pos_organic_sales_tvp,,Organic sales as a percent of total sales for those producers with organic sales,Organic sales 
2017,commodity_only,,Operations with commodity sales only,NA
2017,d2c_farm,,Operations with direct-to-consumer sales,"Dummy variable where 1 indicates an operation has direct-to-consumer sales and 0 it does not (they could also have intermediated sales, not an exclusive category)"
2017,d2c_intermediated,,Local food operations with both direct-to-consumer and intermediated sales,"Variable is exclusive within operations with local food sales, operations have sales through both direct and intermediated market channels"
2017,d2c_only,,Local food operations with direct-to-consumer sales only,"Variable is exclusive within operations with local food sales, operations do not have sales through intermediated channels"
2017,d2c_sales,,Direct-to-consumer sales,"2017: k4160, 2007/2012: k920"
2017,d2c_tvp,,Direct-to-consumer sales as a percent of total sales,NA
2017,intermediated_farm,,Operations with intermediated sales,"Dummy variable where 1 indicates an operation has intermediated sales and 0 it does not (they could also have direct-to-consumer sales, not an exclusive category)"
2017,intermediated_only,,Local food operations with intermediated sales only,"Variable is exclusive within operations with local food sales, operations do not have sales through direct-to-consumer channels"
2017,intermediated_sales,,Intermediated sales,k2752
2017,intermediated_tvp,,Intermediated sales as a percent of total sales,"Truncated at 1 if intermediated sales are greater than 1 (less than 1% of obs.), 0 if tvp==0"
2017,local_and_commodity,,Operations with local and commodity sales,NA
2017,local_farm,,Operations with local food sales,"Dummy variable where 1 indicates an operation has local sales and 0 it does not (they could also have nonlocal sales, not an exclusive category)"
2017,local_fct,,"Local food sales factor variable with two levels: Local, Commodity only",NA
2017,local_only,,"Operations with all sales coming from local food marketing channels, they have no sales through commodity market channels",This is an exclusive category and can be useful when wanting to attribute metrics at the whole farm level to local producers
2017,local_only_fct,,"Local only factor variable with 3 levels: Local sales only, Commodity sales only, Local and commodity sales",NA
2017,local_sales,,Local food sales,d2c_sales + intermediated_sales
2017,local_tvp,,Local sales as a percent of total sales,"Truncated at 1 if local sales are greater than 1 (less than 1% of obs.), 0 if tvp==0"
2017,market_channel_fct,,"Market channel factor variable with four levels: Direct-to-consumer only, Intermediated only, Direct and intermediated, No local food sales",NA
2017,pos_d2c,,Operations with positive direct-to-consumer sales,Useful when calculating statistics to understand information about only those that participate
2017,pos_intermediated,,Operations with positive intermediated sales,Useful when calculating statistics to understand information about only those that participate
2017,pos_local,,Operations with positive local food sales,Useful when calculating statistics to understand information about only those that participate
2017,agritourism_farm,,Operations with agritourism income,"Agritourism includes agri-tourism and recreational services such as farm tours, hay rides, hunting, fishing, etc."
2017,agritourism_sales,,Income from agritourism activities,"Agritourism includes agri-tourism and recreational services such as farm tours, hay rides, hunting, fishing, etc."
2017,agritourism_tvp,,Agritourism income as a percent of total sales,"Agritourism is income that is calculated separtely from total sales, so this percentage can be over 100"
