observation_date,WPU01130215,,,
1/1/47,26.3,,,
2/1/47,30,,,
3/1/47,17.5,,,
4/1/47,22.4,,,
5/1/47,32.2,,,
6/1/47,22.6,,,
7/1/47,26,,,
8/1/47,30.2,,,
9/1/47,29.4,,,
10/1/47,23.3,,,
11/1/47,28.6,,,
12/1/47,26.7,,,
1/1/48,26.7,,,
2/1/48,20.9,,,
3/1/48,17.6,,,
4/1/48,25,,,
5/1/48,39.5,,,
6/1/48,26.9,,,
7/1/48,26.2,,,
8/1/48,21.2,,,
9/1/48,23.3,,,
10/1/48,25.7,,,
11/1/48,27,,,
12/1/48,25.3,,,
1/1/49,27.1,,,
2/1/49,37.3,,,
3/1/49,35.7,,,
4/1/49,31.5,,,
5/1/49,21.6,,,
6/1/49,18.3,,,
7/1/49,25.8,,,
8/1/49,37,,,
9/1/49,40.9,,,
10/1/49,31,,,
11/1/49,30.4,,,
12/1/49,20.8,,,
1/1/50,29.7,,,
2/1/50,18.7,,,
3/1/50,18.6,,,
4/1/50,23.1,,,
5/1/50,30.2,,,
6/1/50,21.2,,,
7/1/50,21.2,,,
8/1/50,22.8,,,
9/1/50,24.8,,,
10/1/50,21.6,,,
11/1/50,28,,,
12/1/50,20,,,
1/1/51,21.3,,,
2/1/51,20.9,,,
3/1/51,21.6,,,
4/1/51,32.4,,,
5/1/51,31.3,,,
6/1/51,23.1,,,
7/1/51,28.4,,,
8/1/51,29.5,,,
9/1/51,24.5,,,
10/1/51,29.7,,,
11/1/51,35.1,,,
12/1/51,44.1,,,
1/1/52,35.8,,,
2/1/52,17.8,,,
3/1/52,22.9,,,
4/1/52,28.4,,,
5/1/52,30.4,,,
6/1/52,27.3,,,
7/1/52,24.1,,,
8/1/52,29.3,,,
9/1/52,28.4,,,
10/1/52,26.2,,,
11/1/52,29.9,,,
12/1/52,30.4,,,
1/1/53,19.1,,,
2/1/53,18.9,,,
3/1/53,21.5,,,
4/1/53,24.1,,,
5/1/53,32,,,
6/1/53,24.1,,,
7/1/53,26.2,,,
8/1/53,48.2,,,
9/1/53,26.2,,,
10/1/53,34.1,,,
11/1/53,25.2,,,
12/1/53,21.3,,,
1/1/54,34.3,,,
2/1/54,18.9,,,
3/1/54,22,,,
4/1/54,26.6,,,
5/1/54,46.1,,,
6/1/54,14.7,,,
7/1/54,23.1,,,
8/1/54,26.2,,,
9/1/54,27.3,,,
10/1/54,44.1,,,
11/1/54,39.9,,,
12/1/54,18.9,,,
1/1/55,39.9,,,
2/1/55,25.2,,,
3/1/55,26,,,
4/1/55,33.4,,,
5/1/55,27.3,,,
6/1/55,27.3,,,
7/1/55,34.6,,,
8/1/55,30.4,,,
9/1/55,32.5,,,
10/1/55,24.1,,,
11/1/55,25.7,,,
12/1/55,32.2,,,
1/1/56,21.3,,,
2/1/56,19.9,,,
3/1/56,25.2,,,
4/1/56,24.5,,,
5/1/56,31,,,
6/1/56,32,,,
7/1/56,19.9,,,
8/1/56,26.2,,,
9/1/56,31.5,,,
10/1/56,35.7,,,
11/1/56,55.6,,,
12/1/56,41.6,,,
1/1/57,29.4,,,
2/1/57,28.8,,,
3/1/57,17.8,,,
4/1/57,25.2,,,
5/1/57,26.9,,,
6/1/57,,,,
7/1/57,39.9,,,
8/1/57,50.4,,,
9/1/57,35.7,,,
10/1/57,44.1,,,
11/1/57,35,,,
12/1/57,28.7,,,
1/1/58,28.4,,,
2/1/58,27.3,,,
3/1/58,45.1,,,
4/1/58,31.5,,,
5/1/58,43.6,,,
6/1/58,27.3,,,
7/1/58,27.3,,,
8/1/58,22,,,
9/1/58,30.4,,,
10/1/58,39.9,,,
11/1/58,25.7,,,
12/1/58,27.3,,,
1/1/59,26.2,,,
2/1/59,38.8,,,
3/1/59,21,,,
4/1/59,23.1,,,
5/1/59,24.1,,,
6/1/59,22,,,
7/1/59,28.4,,,
8/1/59,27.3,,,
9/1/59,52.5,,,
10/1/59,48.5,,,
11/1/59,26.2,,,
12/1/59,37.3,,,
1/1/60,36,,,
2/1/60,36.7,,,
3/1/60,27.3,,,
4/1/60,26.2,,,
5/1/60,23.1,,,
6/1/60,16.8,,,
7/1/60,31.5,,,
8/1/60,25.2,,,
9/1/60,30.4,,,
10/1/60,27.3,,,
11/1/60,33.6,,,
12/1/60,27.3,,,
1/1/61,36.7,,,
2/1/61,22,,,
3/1/61,18.9,,,
4/1/61,18.9,,,
5/1/61,32.5,,,
6/1/61,32.5,,,
7/1/61,27.3,,,
8/1/61,26.2,,,
9/1/61,44.1,,,
10/1/61,26.7,,,
11/1/61,30.4,,,
12/1/61,30.4,,,
1/1/62,30.4,,,
2/1/62,40.9,,,
3/1/62,32.5,,,
4/1/62,26.2,,,
5/1/62,42.5,,,
6/1/62,27.3,,,
7/1/62,28.4,,,
8/1/62,19.9,,,
9/1/62,48.3,,,
10/1/62,31.5,,,
11/1/62,37.8,,,
12/1/62,27.8,,,
1/1/63,36.8,,,
2/1/63,34.1,,,
3/1/63,38.8,,,
4/1/63,30.4,,,
5/1/63,31.5,,,
6/1/63,44.1,,,
7/1/63,26.2,,,
8/1/63,25.2,,,
9/1/63,24.1,,,
10/1/63,32.5,,,
11/1/63,48.3,,,
12/1/63,39.4,,,
1/1/64,52.5,,,
2/1/64,37.8,,,
3/1/64,39.9,,,
4/1/64,22,,,
5/1/64,25.2,,,
6/1/64,19.9,,,
7/1/64,36.8,,,
8/1/64,27.3,,,
9/1/64,33.6,,,
10/1/64,34.6,,,
11/1/64,36.8,,,
12/1/64,36.8,,,
1/1/65,27.3,,,
2/1/65,30.4,,,
3/1/65,26.2,,,
4/1/65,43.1,,,
5/1/65,52.5,,,
6/1/65,29.4,,,
7/1/65,24.1,,,
8/1/65,28.4,,,
9/1/65,37.8,,,
10/1/65,40.9,,,
11/1/65,26.2,,,
12/1/65,33.6,,,
1/1/66,59.8,,,
2/1/66,36.8,,,
3/1/66,35.7,,,
4/1/66,35.7,,,
5/1/66,23.1,,,
6/1/66,32,,,
7/1/66,35.7,,,
8/1/66,35.7,,,
9/1/66,44.1,,,
10/1/66,33.6,,,
11/1/66,39.9,,,
12/1/66,18.9,,,
1/1/67,25.2,,,
2/1/67,22.1,,,
3/1/67,28.4,,,
4/1/67,36.8,,,
5/1/67,45.2,,,
6/1/67,67.2,,,
7/1/67,33.6,,,
8/1/67,35.7,,,
9/1/67,31.5,,,
10/1/67,28.4,,,
11/1/67,44.1,,,
12/1/67,42,,,
1/1/68,48.3,,,
2/1/68,22.1,,,
3/1/68,27.3,,,
4/1/68,39.9,,,
5/1/68,35.7,,,
6/1/68,31.5,,,
7/1/68,43.1,,,
8/1/68,37.8,,,
9/1/68,33.6,,,
10/1/68,41,,,
11/1/68,34.2,,,
12/1/68,35.7,,,
1/1/69,36.8,,,
2/1/69,36.8,,,
3/1/69,54.7,,,
4/1/69,39.9,,,
5/1/69,48.3,,,
6/1/69,35.7,,,
7/1/69,31.5,,,
8/1/69,46.2,,,
9/1/69,28.4,,,
10/1/69,39.9,,,
11/1/69,84.1,,,
12/1/69,39.9,,,
1/1/70,37.8,,,
2/1/70,28.4,,,
3/1/70,32.6,,,
4/1/70,23.1,,,
5/1/70,35.7,,,
6/1/70,29.4,,,
7/1/70,30.5,,,
8/1/70,52.5,,,
9/1/70,79.9,,,
10/1/70,31.5,,,
11/1/70,44.1,,,
12/1/70,33.6,,,
1/1/71,42,,,
2/1/71,38.9,,,
3/1/71,58.8,,,
4/1/71,27.3,,,
5/1/71,44.1,,,
6/1/71,39.9,,,
7/1/71,39.9,,,
8/1/71,60.9,,,
9/1/71,37.8,,,
10/1/71,52.5,,,
11/1/71,71.5,,,
12/1/71,50.4,,,
1/1/72,52.5,,,
2/1/72,68,,,
3/1/72,24.9,,,
4/1/72,44.1,,,
5/1/72,28.4,,,
6/1/72,42,,,
7/1/72,29.4,,,
8/1/72,45.2,,,
9/1/72,48.3,,,
10/1/72,35.7,,,
11/1/72,61,,,
12/1/72,44.1,,,
1/1/73,43.1,,,
2/1/73,50.4,,,
3/1/73,44.1,,,
4/1/73,56.7,,,
5/1/73,100.9,,,
6/1/73,88.3,,,
7/1/73,58.9,,,
8/1/73,50.4,,,
9/1/73,52.5,,,
10/1/73,34.7,,,
11/1/73,35.7,,,
12/1/73,44.1,,,
1/1/74,35.2,,,
2/1/74,61,,,
3/1/74,42,,,
4/1/74,50.4,,,
5/1/74,56.8,,,
6/1/74,56.8,,,
7/1/74,71.5,,,
8/1/74,43.1,,,
9/1/74,48.3,,,
10/1/74,65.2,,,
11/1/74,71.5,,,
12/1/74,44.1,,,
1/1/75,71.5,,,
2/1/75,60.9,,,
3/1/75,44.1,,,
4/1/75,54.6,,,
5/1/75,46.2,,,
6/1/75,50.4,,,
7/1/75,50.4,,,
8/1/75,56.7,,,
9/1/75,73.6,,,
10/1/75,58.8,,,
11/1/75,63,,,
12/1/75,58.8,,,
1/1/76,63,,,
2/1/76,,,,
3/1/76,,,,
4/1/76,54.6,,,
5/1/76,54.6,,,
6/1/76,52.5,,,
7/1/76,65.1,,,
8/1/76,69.4,,,
9/1/76,105.1,,,
10/1/76,121.9,,,
11/1/76,67.3,,,
12/1/76,60.9,,,
1/1/77,82,,,
2/1/77,52.5,,,
3/1/77,59.2,,,
4/1/77,52.5,,,
5/1/77,48.3,,,
6/1/77,41.7,,,
7/1/77,65.1,,,
8/1/77,45.2,,,
9/1/77,73.6,,,
10/1/77,90.4,,,
11/1/77,82,,,
12/1/77,50.4,,,
1/1/78,75.7,,,
2/1/78,82,,,
3/1/78,48.3,,,
4/1/78,91.1,,,
5/1/78,105.1,,,
6/1/78,96.7,,,
7/1/78,69.4,,,
8/1/78,52.5,,,
9/1/78,56.7,,,
10/1/78,65.1,,,
11/1/78,88.3,,,
12/1/78,96.7,,,
1/1/79,142.9,,,
2/1/79,,,,
3/1/79,71.5,,,
4/1/79,56.7,,,
5/1/79,77.8,,,
6/1/79,63,,,
7/1/79,60.9,,,
8/1/79,111.4,,,
9/1/79,67.3,,,
10/1/79,78.8,,,
11/1/79,88.3,,,
12/1/79,57.8,,,
1/1/80,64.4,,,
2/1/80,59.9,,,
3/1/80,60.9,,,
4/1/80,79.9,,,
5/1/80,88.3,,,
6/1/80,71.5,,,
7/1/80,82,,,
8/1/80,77.8,,,
9/1/80,105.1,,,
10/1/80,77.8,,,
11/1/80,107.2,,,
12/1/80,63,,,
1/1/81,88.3,,,
2/1/81,69.4,,,
3/1/81,71.5,,,
4/1/81,71.5,,,
5/1/81,96.7,,,
6/1/81,67.3,,,
7/1/81,92.5,,,
8/1/81,100.9,,,
9/1/81,100.9,,,
10/1/81,79.9,,,
11/1/81,75.7,,,
12/1/81,138.7,,,
1/1/82,176.5,,,
2/1/82,121.9,,,
3/1/82,67.3,,,
4/1/82,121.9,,,
5/1/82,71.5,,,
6/1/82,79.9,,,
7/1/82,92.5,,,
8/1/82,67.3,,,
9/1/82,77.8,,,
10/1/82,90.4,,,
11/1/82,90.4,,,
12/1/82,142.9,,,
1/1/83,109.3,,,
2/1/83,54.6,,,
3/1/83,50.4,,,
4/1/83,92.5,,,
5/1/83,100.9,,,
6/1/83,147.1,,,
7/1/83,63,,,
8/1/83,96.7,,,
9/1/83,142.9,,,
10/1/83,147.1,,,
11/1/83,110.7,,,
12/1/83,84.1,,,
1/1/84,96.7,,,
2/1/84,71.5,,,
3/1/84,74.3,,,
4/1/84,60.9,,,
5/1/84,60.9,,,
6/1/84,100.9,,,
7/1/84,79.9,,,
8/1/84,130.3,,,
9/1/84,113.5,,,
10/1/84,126.1,,,
11/1/84,65.1,,,
12/1/84,54.6,,,
1/1/85,107.2,,,
2/1/85,84.1,,,
3/1/85,84.1,,,
4/1/85,60.9,,,
5/1/85,75.7,,,
6/1/85,79.9,,,
7/1/85,117.7,,,
8/1/85,130.3,,,
9/1/85,126.1,,,
10/1/85,84.1,,,
11/1/85,79.9,,,
12/1/85,130.3,,,
1/1/86,89.7,,,
2/1/86,54.6,,,
3/1/86,54.6,,,
4/1/86,126.1,,,
5/1/86,142.9,,,
6/1/86,79.9,,,
7/1/86,84.1,,,
8/1/86,92.5,,,
9/1/86,96.7,,,
10/1/86,75.7,,,
11/1/86,92.5,,,
12/1/86,92.5,,,
1/1/87,92.5,,,
2/1/87,79.9,,,
3/1/87,100.9,,,
4/1/87,63,,,
5/1/87,69.4,,,
6/1/87,67.3,,,
7/1/87,121.9,,,
8/1/87,134.5,,,
9/1/87,113.5,,,
10/1/87,92.5,,,
11/1/87,180.7,,,
12/1/87,199.6,,,
1/1/88,302.6,,,
2/1/88,92.5,,,
3/1/88,126.1,,,
4/1/88,54.6,,,
5/1/88,84.1,,,
6/1/88,109.3,,,
7/1/88,84.1,,,
8/1/88,109.3,,,
9/1/88,105.1,,,
10/1/88,130.3,,,
11/1/88,92.5,,,
12/1/88,151.3,,,
1/1/89,111.4,,,
2/1/89,103,,,
3/1/89,147.1,,,
4/1/89,92.5,,,
5/1/89,65.1,,,
6/1/89,159.7,,,
7/1/89,126.1,,,
8/1/89,105.1,,,
9/1/89,117.7,,,
10/1/89,126.1,,,
11/1/89,88.3,,,
12/1/89,52.5,,,
1/1/90,109.3,,,
2/1/90,73.6,,,
3/1/90,65.1,,,
4/1/90,73.6,,,
5/1/90,75.7,,,
6/1/90,84.1,,,
7/1/90,133.1,,,
8/1/90,109.3,,,
9/1/90,111.4,,,
10/1/90,154.1,,,
11/1/90,201.8,,,
12/1/90,95.3,,,
1/1/91,107.2,,,
2/1/91,72.9,,,
3/1/91,79.9,,,
4/1/91,84.1,,,
5/1/91,172.3,,,
6/1/91,121.9,,,
7/1/91,84.1,,,
8/1/91,96.7,,,
9/1/91,109.3,,,
10/1/91,90.4,,,
11/1/91,201.8,,,
12/1/91,85.5,,,
1/1/92,56.1,,,
2/1/92,54.9,,,
3/1/92,92.3,,,
4/1/92,72.3,,,
5/1/92,157.3,,,
6/1/92,73.4,,,
7/1/92,68.7,,,
8/1/92,206,,,
9/1/92,222.4,,,
10/1/92,189.5,,,
11/1/92,77.5,,,
12/1/92,126.7,,,
1/1/93,93.9,,,
2/1/93,124.3,,,
3/1/93,135.6,,,
4/1/93,325.1,,,
5/1/93,75.6,,,
6/1/93,71,,,
7/1/93,167.1,,,
8/1/93,126.4,,,
9/1/93,106.7,,,
10/1/93,82.4,,,
11/1/93,79.8,,,
12/1/93,73.5,,,
1/1/94,73.3,,,
2/1/94,83.1,,,
3/1/94,66.9,,,
4/1/94,76.5,,,
5/1/94,79.5,,,
6/1/94,101.1,,,
7/1/94,68,,,
8/1/94,79.7,,,
9/1/94,141.2,,,
10/1/94,154.6,,,
11/1/94,161.3,,,
12/1/94,431.3,,,
1/1/95,103.8,,,
2/1/95,75.6,,,
3/1/95,135.5,,,
4/1/95,403.8,,,
5/1/95,503.6,,,
6/1/95,122.4,,,
7/1/95,66.5,,,
8/1/95,132,,,
9/1/95,307.8,,,
10/1/95,148.9,,,
11/1/95,70.5,,,
12/1/95,83.3,,,
1/1/96,157.5,,,
2/1/96,71.2,,,
3/1/96,194.7,,,
4/1/96,96.8,,,
5/1/96,125.6,,,
6/1/96,76.9,,,
7/1/96,120.5,,,
8/1/96,98.1,,,
9/1/96,88.3,,,
10/1/96,84.6,,,
11/1/96,216.1,,,
12/1/96,99.4,,,
1/1/97,97.6,,,
2/1/97,92.6,,,
3/1/97,134.7,,,
4/1/97,122,,,
5/1/97,77.9,,,
6/1/97,108,,,
7/1/97,98.6,,,
8/1/97,212.3,,,
9/1/97,209.5,,,
10/1/97,318.3,,,
11/1/97,172,,,
12/1/97,136.1,,,
1/1/98,191.8,,,
2/1/98,101,,,
3/1/98,107.7,,,
4/1/98,269.4,,,
5/1/98,110.2,,,
6/1/98,83.6,,,
7/1/98,126.6,,,
8/1/98,96.6,,,
9/1/98,122.2,,,
10/1/98,123.7,,,
11/1/98,81,,,
12/1/98,126.7,,,
1/1/99,87,,,
2/1/99,87.8,,,
3/1/99,146.7,,,
4/1/99,272.1,,,
5/1/99,108.4,,,
6/1/99,73,,,
7/1/99,95,,,
8/1/99,113.1,,,
9/1/99,120.8,,,
10/1/99,118.5,,,
11/1/99,90.1,,,
12/1/99,186.2,,,
1/1/00,176.4,,,
2/1/00,93.1,,,
3/1/00,175.9,,,
4/1/00,127.7,,,
5/1/00,259.2,,,
6/1/00,164.2,,,
7/1/00,129.5,,,
8/1/00,152.5,,,
9/1/00,335.7,,,
10/1/00,192.2,,,
11/1/00,200,,,
12/1/00,94.3,,,
1/1/01,96.7,,,
2/1/01,235.6,,,
3/1/01,85.4,,,
4/1/01,189.8,,,
5/1/01,94.6,,,
6/1/01,101.7,,,
7/1/01,100.6,,,
8/1/01,195.3,,,
9/1/01,269,,,
10/1/01,107.1,,,
11/1/01,90.1,,,
12/1/01,196,,,
1/1/02,160.2,,,
2/1/02,428.4,,,
3/1/02,780.2,,,
4/1/02,102.2,,,
5/1/02,78.8,,,
6/1/02,76.9,,,
7/1/02,102.5,,,
8/1/02,149,,,
9/1/02,114.9,,,
10/1/02,181,,,
11/1/02,105,,,
12/1/02,78,,,
1/1/03,104.6,,,
2/1/03,82.7,,,
3/1/03,90.7,,,
4/1/03,140.8,,,
5/1/03,296.3,,,
6/1/03,195.7,,,
7/1/03,84.4,,,
8/1/03,108.2,,,
9/1/03,282.9,,,
10/1/03,287.7,,,
11/1/03,150.5,,,
12/1/03,382.1,,,
1/1/04,164,,,
2/1/04,112.8,,,
3/1/04,94.3,,,
4/1/04,103.5,,,
5/1/04,85.8,,,
6/1/04,87.9,,,
7/1/04,85.9,,,
8/1/04,154.8,,,
9/1/04,135,,,
10/1/04,210.8,,,
11/1/04,130.6,,,
12/1/04,126.2,,,
1/1/05,164,,,
2/1/05,164.1,,,
3/1/05,209.2,,,
4/1/05,220.3,,,
5/1/05,116.4,,,
6/1/05,136.3,,,
7/1/05,85.5,,,
